pID,Name,egg_type_number
151,Mew,1
251,Celebi,1
385,Jirachi,1
386,Deoxys Normal Forme,1
386,Deoxys Attack Forme,1
386,Deoxys Defense Forme,1
386,Deoxys Speed Forme,1
489,Phione,2
490,Manaphy,2
491,Darkrai,1
492,Shaymin Land Forme,1
492,Shaymin Sky Forme,1
493,Arceus,1
494,Victini,1
647,Keldeo Ordinary Forme,1
647,Keldeo Resolute Forme,1
648,Meloetta Aria Forme,1
648,Meloetta Pirouette Forme,1
649,Genesect,1
719,Diancie,1
719,Mega Diancie,1
720,Hoopa Hoopa Confined,1
720,Hoopa Hoopa Unbound,1
721,Volcanion,1
801,Magearna,1
802,Marshadow,1
807,Zeraora,1
808,Meltan,1
809,Melmetal,1
