pID,Name,egg_type_number
144,Articuno,1
145,Zapdos,1
146,Moltres,1
243,Raikou,1
244,Entei,1
245,Suicune,1
377,Regirock,1
378,Regice,1
379,Registeel,1
380,Latias,1
380,Mega Latias,1
381,Latios,1
381,Mega Latios,1
480,Uxie,1
481,Mesprit,1
482,Azelf,1
485,Heatran,1
486,Regigigas,1
488,Cresselia,1
638,Cobalion,1
639,Terrakion,1
640,Virizion,1
641,Tornadus Incarnate Forme,1
641,Tornadus Therian Forme,1
642,Thundurus Incarnate Forme,1
642,Thundurus Therian Forme,1
645,Landorus Incarnate Forme,1
645,Landorus Therian Forme,1
772,Type: Null,1
773,Silvally,1
785,Tapu Koko,1
786,Tapu Lele,1
787,Tapu Bulu,1
788,Tapu Fini,1
793,Nihilego,1
794,Buzzwole,1
795,Pheromosa,1
796,Xurkitree,1
797,Celesteela,1
798,Kartana,1
799,Guzzlord,1
803,Poipole,1
804,Naganadel,1
805,Stakataka,1
806,Blacephalon,1
