pID,Name,GenerationNumber,Species,PrimaryType,Height,Weight,PrimaryAbility,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,CatchRate,BaseFriendship,BaseExperience,GrowthRate,PrimaryEggType,EggCycles
1,Bulbasaur,1,Seed  ,Grass,0.7,6.9,Overgrow,45,49,49,65,65,45,45.0,70.0,64.0,Medium Slow,Grass,20.0
2,Ivysaur,1,Seed  ,Grass,1.0,13.0,Overgrow,60,62,63,80,80,60,45.0,70.0,142.0,Medium Slow,Grass,20.0
3,Venusaur,1,Seed  ,Grass,2.0,100.0,Overgrow,80,82,83,100,100,80,45.0,70.0,236.0,Medium Slow,Grass,20.0
3,Mega Venusaur,1,Seed  ,Grass,2.4,155.5,Thick Fat,80,100,123,122,120,80,45.0,70.0,281.0,Medium Slow,Grass,20.0
4,Charmander,1,Lizard  ,Fire,0.6,8.5,Blaze,39,52,43,60,50,65,45.0,70.0,62.0,Medium Slow,Dragon,20.0
5,Charmeleon,1,Flame  ,Fire,1.1,19.0,Blaze,58,64,58,80,65,80,45.0,70.0,142.0,Medium Slow,Dragon,20.0
6,Charizard,1,Flame  ,Fire,1.7,90.5,Blaze,78,84,78,109,85,100,45.0,70.0,240.0,Medium Slow,Dragon,20.0
6,Mega Charizard X,1,Flame  ,Fire,1.7,110.5,Tough Claws,78,130,111,130,85,100,45.0,70.0,285.0,Medium Slow,Dragon,20.0
6,Mega Charizard Y,1,Flame  ,Fire,1.7,100.5,Drought,78,104,78,159,115,100,45.0,70.0,285.0,Medium Slow,Dragon,20.0
7,Squirtle,1,Tiny Turtle  ,Water,0.5,9.0,Torrent,44,48,65,50,64,43,45.0,70.0,63.0,Medium Slow,Monster,20.0
8,Wartortle,1,Turtle  ,Water,1.0,22.5,Torrent,59,63,80,65,80,58,45.0,70.0,142.0,Medium Slow,Monster,20.0
9,Blastoise,1,Shellfish  ,Water,1.6,85.5,Torrent,79,83,100,85,105,78,45.0,70.0,239.0,Medium Slow,Monster,20.0
9,Mega Blastoise,1,Shellfish  ,Water,1.6,101.1,Mega Launcher,79,103,120,135,115,78,45.0,70.0,284.0,Medium Slow,Monster,20.0
10,Caterpie,1,Worm  ,Bug,0.3,2.9,Shield Dust,45,30,35,20,20,45,255.0,70.0,39.0,Medium Fast,Bug,15.0
11,Metapod,1,Cocoon  ,Bug,0.7,9.9,Shed Skin,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,Bug,15.0
12,Butterfree,1,Butterfly  ,Bug,1.1,32.0,Compound Eyes,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,Bug,15.0
13,Weedle,1,Hairy Bug  ,Bug,0.3,3.2,Shield Dust,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,Bug,15.0
14,Kakuna,1,Cocoon  ,Bug,0.6,10.0,Shed Skin,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,Bug,15.0
15,Beedrill,1,Poison Bee  ,Bug,1.0,29.5,Swarm,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,Bug,15.0
15,Mega Beedrill,1,Poison Bee  ,Bug,1.4,40.5,Adaptability,65,150,40,15,80,145,45.0,70.0,223.0,Medium Fast,Bug,15.0
16,Pidgey,1,Tiny Bird  ,Normal,0.3,1.8,Keen Eye,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,Flying,15.0
17,Pidgeotto,1,Bird  ,Normal,1.1,30.0,Keen Eye,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,Flying,15.0
18,Pidgeot,1,Bird  ,Normal,1.5,39.5,Keen Eye,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,Flying,15.0
18,Mega Pidgeot,1,Bird  ,Normal,2.2,50.5,No Guard,83,80,80,135,80,121,45.0,70.0,261.0,Medium Slow,Flying,15.0
19,Rattata,1,Mouse  ,Normal,0.3,3.5,Run Away,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,Field,15.0
19,Alolan Rattata,1,Mouse  ,Dark,0.3,3.8,Gluttony,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,Field,15.0
20,Raticate,1,Mouse  ,Normal,0.7,18.5,Run Away,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,Field,15.0
20,Alolan Raticate,1,Mouse  ,Dark,0.7,25.5,Gluttony,75,71,70,40,80,77,127.0,70.0,145.0,Medium Fast,Field,15.0
21,Spearow,1,Tiny Bird  ,Normal,0.3,2.0,Keen Eye,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,Flying,15.0
22,Fearow,1,Beak  ,Normal,1.2,38.0,Keen Eye,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,Flying,15.0
23,Ekans,1,Snake  ,Poison,2.0,6.9,Intimidate,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,Dragon,20.0
24,Arbok,1,Cobra  ,Poison,3.5,65.0,Intimidate,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,Dragon,20.0
25,Pikachu,1,Mouse  ,Electric,0.4,6.0,Static,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,Fairy,10.0
25,Partner Pikachu,1,Mouse  ,Electric,0.4,6.0,,45,80,50,75,60,120,190.0,70.0,112.0,Medium Fast,,10.0
26,Raichu,1,Mouse  ,Electric,0.8,30.0,Static,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,Fairy,10.0
26,Alolan Raichu,1,Mouse  ,Electric,0.7,21.0,Surge Surfer,60,85,50,95,85,110,75.0,70.0,218.0,Medium Fast,Fairy,10.0
27,Sandshrew,1,Mouse  ,Ground,0.6,12.0,Sand Veil,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,Field,20.0
27,Alolan Sandshrew,1,Mouse  ,Ice,0.7,40.0,Snow Cloak,50,75,90,10,35,40,255.0,70.0,60.0,Medium Fast,Field,20.0
28,Sandslash,1,Mouse  ,Ground,1.0,29.5,Sand Veil,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,Field,20.0
28,Alolan Sandslash,1,Mouse  ,Ice,1.2,55.0,Snow Cloak,75,100,120,25,65,65,90.0,70.0,158.0,Medium Fast,Field,20.0
29,Nidoran♀,1,Poison Pin  ,Poison,0.4,7.0,Poison Point,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,Field,20.0
30,Nidorina,1,Poison Pin  ,Poison,0.8,20.0,Poison Point,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,Undiscovered,20.0
31,Nidoqueen,1,Drill  ,Poison,1.3,60.0,Poison Point,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,Undiscovered,20.0
32,Nidoran♂,1,Poison Pin  ,Poison,0.5,9.0,Poison Point,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,Field,20.0
33,Nidorino,1,Poison Pin  ,Poison,0.9,19.5,Poison Point,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,Field,20.0
34,Nidoking,1,Drill  ,Poison,1.4,62.0,Poison Point,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,Field,20.0
35,Clefairy,1,Fairy  ,Fairy,0.6,7.5,Cute Charm,70,45,48,60,65,35,150.0,140.0,113.0,Fast,Fairy,10.0
36,Clefable,1,Fairy  ,Fairy,1.3,40.0,Cute Charm,95,70,73,95,90,60,25.0,140.0,217.0,Fast,Fairy,10.0
37,Vulpix,1,Fox  ,Fire,0.6,9.9,Flash Fire,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,Field,20.0
37,Alolan Vulpix,1,Fox  ,Ice,0.6,9.9,Snow Cloak,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,Field,20.0
38,Ninetales,1,Fox  ,Fire,1.1,19.9,Flash Fire,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,Field,20.0
38,Alolan Ninetales,1,Fox  ,Ice,1.1,19.9,Snow Cloak,73,67,75,81,100,109,75.0,70.0,177.0,Medium Fast,Field,20.0
39,Jigglypuff,1,Balloon  ,Normal,0.5,5.5,Cute Charm,115,45,20,45,25,20,170.0,70.0,95.0,Fast,Fairy,10.0
40,Wigglytuff,1,Balloon  ,Normal,1.0,12.0,Cute Charm,140,70,45,85,50,45,50.0,70.0,196.0,Fast,Fairy,10.0
41,Zubat,1,Bat  ,Poison,0.8,7.5,Inner Focus,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,Flying,15.0
42,Golbat,1,Bat  ,Poison,1.6,55.0,Inner Focus,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,Flying,15.0
43,Oddish,1,Weed  ,Grass,0.5,5.4,Chlorophyll,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,Grass,20.0
44,Gloom,1,Weed  ,Grass,0.8,8.6,Chlorophyll,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,Grass,20.0
45,Vileplume,1,Flower  ,Grass,1.2,18.6,Chlorophyll,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,Grass,20.0
46,Paras,1,Mushroom  ,Bug,0.3,5.4,Effect Spore,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,Bug,20.0
47,Parasect,1,Mushroom  ,Bug,1.0,29.5,Effect Spore,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,Bug,20.0
48,Venonat,1,Insect  ,Bug,1.0,30.0,Compound Eyes,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,Bug,20.0
49,Venomoth,1,Poison Moth  ,Bug,1.5,12.5,Shield Dust,70,65,60,90,75,90,75.0,70.0,158.0,Medium Fast,Bug,20.0
50,Diglett,1,Mole  ,Ground,0.2,0.8,Sand Veil,10,55,25,35,45,95,255.0,70.0,53.0,Medium Fast,Field,20.0
50,Alolan Diglett,1,Mole  ,Ground,0.2,1.0,Sand Veil,10,55,30,35,45,90,255.0,70.0,53.0,Medium Fast,Field,20.0
51,Dugtrio,1,Mole  ,Ground,0.7,33.3,Sand Veil,35,100,50,50,70,120,50.0,70.0,149.0,Medium Fast,Field,20.0
51,Alolan Dugtrio,1,Mole  ,Ground,0.7,66.6,Sand Veil,35,100,60,50,70,110,50.0,70.0,149.0,Medium Fast,Field,20.0
52,Meowth,1,Scratch Cat  ,Normal,0.4,4.2,Pickup,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,Field,20.0
52,Alolan Meowth,1,Scratch Cat  ,Dark,0.4,4.2,Pickup,40,35,35,50,40,90,255.0,70.0,58.0,Medium Fast,Field,20.0
52,Galarian Meowth,1,Scratch Cat  ,Steel,0.4,7.5,Pickup,50,65,55,40,40,40,,,,Medium Fast,Field,20.0
53,Persian,1,Classy Cat  ,Normal,1.0,32.0,Limber,65,70,60,65,65,115,90.0,70.0,154.0,Medium Fast,Field,20.0
