 primarytype |    heightrange    |   weightrange    |     hprange      |   attackrange    |   defencerange   | specialattackrange | specialdefencerange |    speedrange    |   avgavgheight    |   avgavgweight   |     avgavghp     |   avgavgattack   |  avgavgdefence   | avgavgspecialattack | avgavgspecialdefence |   avgavgspeed    
-------------+-------------------+------------------+------------------+------------------+------------------+--------------------+---------------------+------------------+-------------------+------------------+------------------+------------------+------------------+---------------------+----------------------+------------------
 Dragon      |  1.60833333333333 |            195.5 |             38.5 |               49 | 44.1666666666667 |   48.3333333333333 |                50.5 | 43.6666666666667 |  2.04047619047619 | 103.052380952381 | 77.3333333333333 | 100.785714285714 | 79.6666666666667 |    82.2063492063492 |     78.6428571428571 | 82.1031746031746
 Normal      | 0.533333333333333 | 56.4194444444444 |            26.45 | 34.9166666666667 |            22.25 |   21.5833333333333 |    15.0277777777778 | 36.1388888888889 | 0.967522660818713 | 38.6356659356725 | 75.4559649122807 | 73.0762792397661 | 62.1926315789474 |    55.8596271929825 |     64.0620833333333 | 67.0192178362573
 Steel       |  6.73333333333333 |            464.6 |             39.5 |            38.75 |              135 |                 53 |    60.6666666666667 |             29.5 |  2.25916666666667 |       220.271875 | 69.2645833333333 | 89.7604166666667 | 110.420833333333 |               68.25 |     73.0333333333333 | 51.1895833333333
 Ground      |  1.76333333333333 |           472.03 |             40.5 |             29.5 | 45.1666666666667 |   36.4285714285714 |    25.8571428571429 |               30 |   1.5506462585034 | 174.924965986395 | 73.9200680272109 | 95.6802721088435 |  92.328231292517 |    53.1802721088435 |     65.3367346938776 | 57.2738095238095
 Rock        | 0.643589743589744 |          150.625 | 23.0769230769231 |            39.75 | 31.1196581196581 |   31.0555555555556 |    33.5726495726496 | 42.3333333333333 |  1.33565705128205 | 124.732171474359 | 69.1396901709402 | 92.3913194444444 | 97.2909989316239 |    60.5540865384615 |     73.0464743589744 | 55.3817841880342
 Ice         | 0.833333333333333 |          281.175 | 21.6666666666667 | 35.6944444444444 |             89.5 |   55.3333333333333 |               45.75 |               57 |  1.19940476190476 | 107.738095238095 | 71.0436507936508 | 76.7301587301587 | 77.6666666666667 |    67.3273809523809 |     66.9563492063492 | 64.1964285714286
 Bug         | 0.816666666666666 | 50.6111111111111 | 17.1111111111111 | 52.0833333333333 |            43.75 |   28.5714285714286 |                52.5 | 25.3888888888889 | 0.821954365079365 | 30.5918551587302 | 55.7197420634921 | 63.9306547619048 | 69.5279761904762 |    55.6875992063492 |     63.9178571428571 | 60.8898809523809
 Ghost       |  2.00952380952381 | 233.266666666667 | 52.8857142857143 |               52 | 35.8666666666667 |              76.45 |    34.3333333333333 |            60.75 |  1.12327380952381 | 52.5704166666667 | 61.2961309523809 | 70.6479166666667 | 77.0175595238095 |    87.7002976190476 |     81.2470238095238 | 61.2526785714286
 Water       |  1.22857142857143 | 57.5309523809524 | 20.3631578947368 |               13 | 20.5268817204301 |   28.2222222222222 |    37.3666666666667 |             40.4 |  1.32249799177431 | 51.4631514761884 | 69.3549613798765 | 75.2449393230802 | 71.5294056973492 |    76.8215586655846 |     71.8972692017471 | 68.0801068531544
